Golden State,0.83,,,,,,,,,,
San Antonio,0.793,,,,,,,,,,
Cleveland,0.709,,,,,,,,,,
Okla City,0.66,,,,,,,,,,
Toronto,0.647,,,,,,,,,,
LA Clippers,0.625,,,,,,,,,,
Charlotte,0.573,,,,,,,,,,
Miami,0.573,,,,,,,,,,
Boston,0.568,,,,,,,,,,
Atlanta,0.565,,,,,,,,,,
Indiana,0.539,,,,,,,,,,
Portland,0.527,,,,,,,,,,
Chicago,0.512,,,,,,,,,,
Detroit,0.512,,,,,,,,,,
Washington,0.5,,,,,,,,,,
Dallas,0.494,,,,,,,,,,
Memphis,0.488,,,,,,,,,,
Utah,0.488,,,,,,,,,,
Houston,0.483,,,,,,,,,,
Orlando,0.427,,,,,,,,,,
Milwaukee,0.402,,,,,,,,,,
Denver,0.402,,,,,,,,,,
Sacramento,0.402,,,,,,,,,,
New York,0.39,,,,,,,,,,
New Orleans,0.366,,,,,,,,,,
Minnesota,0.354,,,,,,,,,,
Phoenix,0.281,,,,,,,,,,
Brooklyn,0.256,,,,,,,,,,
LA Lakers,0.207,,,,,,,,,,
Philadelphia,0.122,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,